Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
30,0.91,1,2009,1,20,18,0,0,1,48152
28,0.923333333,1,2009,1,20,19,0,0,1,50258
26,0.936666667,1,2009,1,20,20,0,0,1,48333
24,0.95,1,2009,1,20,21,0,0,1,39172
24,0.95,1,2009,1,20,22,0,0,1,33510
23,0.95,1,2009,1,20,23,0,0,1,29561
23,0.95,1,2009,1,21,0,0,0,2,27272
22,0.946666667,1,2009,1,21,1,0,0,2,25853
22,0.943333333,1,2009,1,21,2,0,0,2,25049
21,0.94,1,2009,1,21,3,0,0,2,24070
21,0.94,1,2009,1,21,4,0,0,2,24110
21,0.94,1,2009,1,21,5,0,0,2,25157
20,0.94,1,2009,1,21,6,0,0,2,28145
20,0.843333333,1,2009,1,21,7,0,0,2,34811
21,0.746666667,1,2009,1,21,8,0,0,2,45235
24,0.65,1,2009,1,21,9,0,0,2,55885
26,0.68,1,2009,1,21,10,0,0,2,60606
28,0.71,1,2009,1,21,11,0,0,2,61859
30,0.74,1,2009,1,21,12,0,0,2,61397
30,0.75,1,2009,1,21,13,0,0,2,61114
31,0.76,1,2009,1,21,14,0,0,2,62362
31,0.77,1,2009,1,21,15,0,0,2,62449
31,0.83,1,2009,1,21,16,0,0,2,59964
31,0.89,1,2009,1,21,17,0,0,2,50799
30,0.95,1,2009,1,21,18,0,0,2,47766
28,0.956666667,1,2009,1,21,19,0,0,2,50929
26,0.963333333,1,2009,1,21,20,0,0,2,48898
25,0.97,1,2009,1,21,21,0,0,2,40168
24,0.96,1,2009,1,21,22,0,0,2,33779
24,0.95,1,2009,1,21,23,0,0,2,30170
23,0.94,1,2009,1,22,0,0,0,3,27877
22,0.946666667,1,2009,1,22,1,0,0,3,26022
22,0.953333333,1,2009,1,22,2,0,0,3,24987
22,0.96,1,2009,1,22,3,0,0,3,24321
21,0.956666667,1,2009,1,22,4,0,0,3,23892
21,0.953333333,1,2009,1,22,5,0,0,3,24806
22,0.95,1,2009,1,22,6,0,0,3,27998
21,0.846666667,1,2009,1,22,7,0,0,3,35488
