Predicted ANN load,Target Load,LSTM Load,Tmestamp,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD-LSTM
51117.742,50655.10963,51322.234,16/08/2010 21:00,[49434.195],[49863.01],[56687.09],[51433.],40862.805
50026.07,50071.60344,50025.086,16/08/2010 22:00,[49635.23],[52120.797],[56622.86],[50183.52],40862.62
49518.895,49554.38698,49379.07,16/08/2010 23:00,[50200.887],[54228.34],[56459.72],[49527.61],40862.113
49072.95,49145.3069,48824.684,17/08/2010 0:00,[51114.035],[54409.18],[55999.555],[48886.48],40862.758
48134.07,48983.9823,48953.965,17/08/2010 1:00,[52713.07],[54032.492],[55085.023],[48289.152],49782.914
48174.234,48860.78897,48774.414,17/08/2010 2:00,[54686.695],[54090.215],[53921.67],[48278.418],49782.914
48257.605,48722.73421,48667.297,17/08/2010 3:00,[55396.008],[54484.65],[53690.99],[48321.58],49782.914
48486.1,48787.26406,48622.426,17/08/2010 4:00,[55898.812],[54659.305],[53603.125],[48363.625],49782.914
48791.016,49155.67078,48899.88,17/08/2010 5:00,[56349.496],[54585.2],[52864.9],[48709.07],49782.914
49469.086,49748.56314,49692.855,17/08/2010 6:00,[56558.848],[54143.4],[51298.406],[49498.77],49782.914
50426.754,51958.41688,50879.97,17/08/2010 7:00,[56858.523],[53539.375],[50591.277],[50757.164],49782.914
53566.297,53657.3116,54075.91,17/08/2010 8:00,[56996.207],[53901.43],[49974.508],[53727.11],49782.914
55217.133,55150.10192,55558.727,17/08/2010 9:00,[56982.78],[53881.055],[49579.844],[55127.477],49782.914
56116.22,55442.24611,56189.395,17/08/2010 10:00,[56506.727],[53575.797],[49307.492],[55906.203],49822.734
56068.44,56672.61508,55822.76,17/08/2010 11:00,[55830.906],[52056.44],[49136.76],[55825.336],49822.734
56542.812,56974.73206,56678.457,17/08/2010 12:00,[54724.055],[51172.203],[49057.33],[56587.586],49822.734
56515.703,57203.12859,56841.457,17/08/2010 13:00,[53922.78],[50511.613],[49105.113],[56613.527],49822.734
56414.047,57474.74056,56965.445,17/08/2010 14:00,[53430.918],[50107.785],[49427.285],[56570.08],49822.734
56322.805,57151.11363,57105.57,17/08/2010 15:00,[52443.46],[49801.61],[50083.562],[56579.426],49822.734
55894.293,55856.997,56846.254,17/08/2010 16:00,[51012.9],[49573.03],[52000.492],[56132.14],49822.734
54890.273,54227.91183,55642.258,17/08/2010 17:00,[50363.21],[49421.83],[54851.992],[54999.33],49822.734
53514.29,54057.39661,54071.293,17/08/2010 18:00,[49845.523],[49342.85],[56392.43],[53610.48],40862.266
53225.96,54151.06266,53688.234,17/08/2010 19:00,[49485.39],[49387.598],[56740.984],[53348.8],40862.61
52935.28,53518.86576,53431.414,17/08/2010 20:00,[49319.64],[50106.043],[57151.21],[53264.32],40862.36
52151.61,51556.96305,52768.875,17/08/2010 21:00,[49256.42],[52588.78],[57215.984],[52632.89],40886.375
50599.24,50852.8056,51302.023,17/08/2010 22:00,[49323.918],[55522.25],[57196.266],[50957.137],40886.418
49962.41,50331.48271,50579.7,17/08/2010 23:00,[49719.312],[56711.027],[57049.83],[50236.28],40886.13
49524.117,49845.16236,50006.848,18/08/2010 0:00,[50578.273],[57080.37],[56710.312],[49663.97],40886.496
48839.79,49602.88214,49681.234,18/08/2010 1:00,[52069.31],[57280.957],[56005.223],[49183.086],49782.914
48759.82,49380.5475,49375.258,18/08/2010 2:00,[54221.203],[57405.8],[54789.727],[49085.492],49782.914
48708.195,49334.39889,49140.51,18/08/2010 3:00,[55285.34],[57457.855],[54156.133],[49000.14],49782.914
49069.613,49347.5004,49197.574,18/08/2010 4:00,[55930.742],[57407.94],[54054.477],[49159.297],49782.914
49309.863,49756.38494,49482.688,18/08/2010 5:00,[56580.805],[56946.676],[53494.86],[49462.793],49822.14
50062.79,50645.52793,50464.85,18/08/2010 6:00,[56961.344],[56107.54],[51739.984],[50384.094],49822.14
