Date time ,Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
15/04/2010 1:00,26,0.933333333,1,2010,4,15,1,0,0,3,30507
15/04/2010 2:00,26,0.926666667,1,2010,4,15,2,0,0,3,29263
15/04/2010 3:00,25,0.92,1,2010,4,15,3,0,0,3,28875
15/04/2010 4:00,25,0.91,1,2010,4,15,4,0,0,3,28977
15/04/2010 5:00,25,0.9,1,2010,4,15,5,0,0,3,30903
15/04/2010 6:00,25,0.89,1,2010,4,15,6,0,0,3,35032
15/04/2010 7:00,25,0.793333333,1,2010,4,15,7,0,0,3,46502
15/04/2010 8:00,25,0.696666667,1,2010,4,15,8,0,0,3,56566
15/04/2010 9:00,25,0.6,1,2010,4,15,9,0,0,3,67175
15/04/2010 10:00,28,0.643333333,1,2010,4,15,10,0,0,3,70097
15/04/2010 11:00,30,0.686666667,1,2010,4,15,11,0,0,3,70474
15/04/2010 12:00,32,0.73,1,2010,4,15,12,0,0,3,69035
15/04/2010 13:00,32,0.74,1,2010,4,15,13,0,0,3,70231
15/04/2010 14:00,33,0.75,1,2010,4,15,14,0,0,3,70956
15/04/2010 15:00,34,0.76,1,2010,4,15,15,0,0,3,70040
15/04/2010 16:00,34,0.82,1,2010,4,15,16,0,0,3,60049
15/04/2010 17:00,35,0.88,1,2010,4,15,17,0,0,3,53090
15/04/2010 18:00,31,0.94,1,2010,4,15,18,0,0,3,52560
15/04/2010 19:00,28,0.946666667,1,2010,4,15,19,0,0,3,52892
15/04/2010 20:00,27,0.953333333,1,2010,4,15,20,0,0,3,49808
15/04/2010 21:00,25,0.96,1,2010,4,15,21,0,0,3,40333
15/04/2010 22:00,25,0.963333333,1,2010,4,15,22,0,0,3,36261
15/04/2010 23:00,25,0.966666667,1,2010,4,15,23,0,0,3,33601
16/04/2010 0:00,25,0.97,1,2010,4,16,0,0,0,4,31680
16/04/2010 1:00,25,0.97,1,2010,4,16,1,0,0,4,30282
16/04/2010 2:00,25,0.97,1,2010,4,16,2,0,0,4,29353
16/04/2010 3:00,25,0.97,1,2010,4,16,3,0,0,4,28765
16/04/2010 4:00,25,0.95,1,2010,4,16,4,0,0,4,29279
16/04/2010 5:00,25,0.93,1,2010,4,16,5,0,0,4,31276
16/04/2010 6:00,25,0.91,1,2010,4,16,6,0,0,4,34965
16/04/2010 7:00,25,0.806666667,1,2010,4,16,7,0,0,4,44752
16/04/2010 8:00,25,0.703333333,1,2010,4,16,8,0,0,4,54911
16/04/2010 9:00,26,0.6,1,2010,4,16,9,0,0,4,65284
16/04/2010 10:00,26,0.576666667,1,2010,4,16,10,0,0,4,66803
16/04/2010 11:00,27,0.553333333,1,2010,4,16,11,0,0,4,66602
16/04/2010 12:00,28,0.53,1,2010,4,16,12,0,0,4,65600
16/04/2010 13:00,29,0.593333333,1,2010,4,16,13,0,0,4,66301
16/04/2010 14:00,30,0.656666667,1,2010,4,16,14,0,0,4,67188
16/04/2010 15:00,31,0.72,1,2010,4,16,15,0,0,4,67081
16/04/2010 16:00,32,0.79,1,2010,4,16,16,0,0,4,58750
16/04/2010 17:00,33,0.86,1,2010,4,16,17,0,0,4,51711
16/04/2010 18:00,27,0.93,1,2010,4,16,18,0,0,4,52493
16/04/2010 19:00,26,0.936666667,1,2010,4,16,19,0,0,4,52045
16/04/2010 20:00,25,0.943333333,1,2010,4,16,20,0,0,4,48266
16/04/2010 21:00,25,0.95,1,2010,4,16,21,0,0,4,39445
16/04/2010 22:00,25,0.956666667,1,2010,4,16,22,0,0,4,35268
16/04/2010 23:00,26,0.963333333,1,2010,4,16,23,0,0,4,32951
17/04/2010 0:00,26,0.97,1,2010,4,17,0,0,0,5,31015
17/04/2010 1:00,25,0.97,1,2010,4,17,1,0,0,5,29449
17/04/2010 2:00,25,0.97,1,2010,4,17,2,0,0,5,28274
17/04/2010 3:00,25,0.97,1,2010,4,17,3,0,0,5,28043
17/04/2010 4:00,25,0.966666667,1,2010,4,17,4,0,0,5,28038
17/04/2010 5:00,25,0.963333333,1,2010,4,17,5,0,0,5,29253
17/04/2010 6:00,25,0.96,1,2010,4,17,6,0,0,5,30046
17/04/2010 7:00,25,0.926666667,1,2010,4,17,7,0,0,5,33514
17/04/2010 8:00,25,0.893333333,1,2010,4,17,8,0,0,5,41012
17/04/2010 9:00,25,0.86,1,2010,4,17,9,0,0,5,51957
17/04/2010 10:00,27,0.866666667,1,2010,4,17,10,0,0,5,54310
17/04/2010 11:00,30,0.873333333,1,2010,4,17,11,0,0,5,54383
17/04/2010 12:00,31,0.88,1,2010,4,17,12,0,0,5,51743
17/04/2010 13:00,32,0.883333333,1,2010,4,17,13,0,0,5,50566
17/04/2010 14:00,33,0.886666667,1,2010,4,17,14,0,0,5,51358
17/04/2010 15:00,33,0.89,1,2010,4,17,15,0,0,5,50726
17/04/2010 16:00,35,0.916666667,1,2010,4,17,16,0,0,5,50390
17/04/2010 17:00,35,0.943333333,1,2010,4,17,17,0,0,5,50455
17/04/2010 18:00,32,0.97,1,2010,4,17,18,0,0,5,52351
17/04/2010 19:00,32,0.97,1,2010,4,17,19,0,0,5,51915
17/04/2010 20:00,25,0.97,1,2010,4,17,20,0,0,5,49231
17/04/2010 21:00,25,0.97,1,2010,4,17,21,0,0,5,39448
17/04/2010 22:00,25,0.966666667,1,2010,4,17,22,0,0,5,36071
17/04/2010 23:00,25,0.963333333,1,2010,4,17,23,0,0,5,33267
18/04/2010 0:00,25,0.96,0,2010,4,18,0,0,0,6,31426
18/04/2010 1:00,25,0.963333333,0,2010,4,18,1,0,0,6,30350
18/04/2010 2:00,25,0.966666667,0,2010,4,18,2,0,0,6,28920
18/04/2010 3:00,25,0.97,0,2010,4,18,3,0,0,6,27806
18/04/2010 4:00,25,0.963333333,0,2010,4,18,4,0,0,6,27513
18/04/2010 5:00,25,0.956666667,0,2010,4,18,5,0,0,6,28881
18/04/2010 6:00,25,0.95,0,2010,4,18,6,0,0,6,28996
18/04/2010 7:00,25,0.866666667,0,2010,4,18,7,0,0,6,28907
