Tmestamp,Target Load,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD_LSTM
17/08/2010 20:00,53518.86576,52790.156,53949.65,49194.727,51981.215,57275.555,53264.32,40862.36
17/08/2010 21:00,51556.96305,52026.688,52184.223,49198.01,54069,57352.97,52632.89,40886.375
17/08/2010 22:00,50852.8056,50570.5,50839.773,49528.42,55813.938,57403.566,50957.137,40886.418
17/08/2010 23:00,50331.48271,49814.91,50421.934,50510.715,56638.58,57347.695,50236.28,40886.13
18/08/2010 0:00,49845.16236,49319.977,50088.363,52036.133,57045.445,57014,49663.97,40886.496
18/08/2010 1:00,49602.88214,48870,49829.58,53652.816,57244.85,56083.086,49183.086,49782.914
18/08/2010 2:00,49380.5475,48640.297,49558.64,55236.375,57397.234,54550.79,49085.492,49782.914
18/08/2010 3:00,49334.39889,48501.113,49294.11,56081.293,57515.367,54134.523,49000.14,49782.914
18/08/2010 4:00,49347.5004,48603.797,49222.11,56594.9,57530.32,54136.73,49159.297,49782.914
18/08/2010 5:00,49756.38494,48864.062,49418.85,56962.37,57229.1,53329.938,49462.793,49822.14
18/08/2010 6:00,50645.52793,49670.977,50476.195,57191.83,56598.965,51693.637,50384.094,49822.14
18/08/2010 7:00,52593.93804,51162.656,52188.92,57198.797,54955.523,50813.58,51902.35,49822.14
18/08/2010 8:00,54761.35852,53711.96,54822.246,57057.53,53947.426,50276.633,54270.71,49822.14
18/08/2010 9:00,56906.29132,55782.97,56629.62,56934.84,53695.598,49942.285,55990.594,49822.14
18/08/2010 10:00,57453.6217,57032.984,57355.234,56577.23,52907.613,49583.3,57220.64,49822.734
18/08/2010 11:00,57550.41646,57162.742,57504.418,55851.03,51545.66,49350.227,57407.4,49822.734
18/08/2010 12:00,57242.82422,56985.344,57391.97,54642.5,50730.223,49305.1,57276.594,49822.734
18/08/2010 13:00,57410.01517,56508.312,56967.273,53852.188,50158.25,49651.97,56825.406,49822.734
18/08/2010 14:00,57226.2029,56392.46,56946.57,53682.266,49783.145,50593.637,56752.715,49822.734
18/08/2010 15:00,56792.48415,55915.844,56702.47,53177.844,49460.535,52150.11,56418.664,49822.734
18/08/2010 16:00,55456.91198,55341.71,56094.473,51911.902,49347.895,54024.613,55902.83,49822.734
18/08/2010 17:00,54024.54506,54246.453,54682.49,50940.99,49271.16,56021.395,54704.176,49822.734
18/08/2010 18:00,54025.13169,53081.953,54124.555,50285.008,49345.555,56745.523,53404.46,49822.734
18/08/2010 19:00,53983.67616,52787.19,54251.55,49816.285,49669.215,56962.242,53254.695,40886.12
18/08/2010 20:00,53331.72922,52456.4,53693.29,49441.5,50453.42,57145.688,53085.28,40886.465
18/08/2010 21:00,51421.64593,51739.832,51930.543,49409.04,52368.777,57315.29,52454.38,40886.168
18/08/2010 22:00,50689.33,50179.117,50699.543,49720.383,54365.695,57430.184,50817.59,40886.42
18/08/2010 23:00,50222.17307,49520.703,50265.957,50428.99,55726.06,57396.414,50085.812,40886.207
19/08/2010 0:00,49799.40483,49055.406,49944.305,51649.902,56549.53,56949.777,49566.34,40886.383
19/08/2010 1:00,49427.4783,48767.22,49618.707,53184.715,57060.26,56119.297,49132.434,49822.14
19/08/2010 2:00,49194.58423,48427.71,49185.465,54727.758,57104.664,54611.766,48856.098,49822.14
19/08/2010 3:00,49069.23991,48289.47,48988.875,56409.066,56823.125,53809.832,48731.6,49822.14
19/08/2010 4:00,49141.20046,48335.953,48915.273,57103.67,56616.53,53488.094,48782.836,49822.14
19/08/2010 5:00,49577.85238,48668.332,49155.6,57340.26,56420.42,52615.188,49106.668,49822.14
19/08/2010 6:00,50362.7699,49533.984,50178.594,57273.766,55705.07,51347.02,50017.363,49822.14
19/08/2010 7:00,52456.27438,50937.26,51778.53,57118.3,54273.656,50682.543,51405.5,49822.14
19/08/2010 8:00,54491.50645,53712.445,54575.406,56848.676,53837.97,50199.883,53970.125,49822.14
19/08/2010 9:00,56470.61712,55624.43,56439.42,56612.72,54008.348,49828.168,55638.75,49822.14
