Tmestamp,Target Load,Target Load,Target Load,Target Load,Target Load,Target Load
17/08/2010 11:00,56672.61508,56672.61508,56672.61508,56672.61508,56672.61508,56672.61508
17/08/2010 12:00,56974.73206,56974.73206,56974.73206,56974.73206,56974.73206,56974.73206
17/08/2010 13:00,57203.12859,57203.12859,57203.12859,57203.12859,57203.12859,57203.12859
17/08/2010 14:00,57474.74056,57474.74056,57474.74056,57474.74056,57474.74056,57474.74056
17/08/2010 15:00,57151.11363,57151.11363,57151.11363,57151.11363,57151.11363,57151.11363
17/08/2010 16:00,55856.997,55856.997,55856.997,55856.997,55856.997,55856.997
17/08/2010 17:00,54227.91183,54227.91183,54227.91183,54227.91183,54227.91183,54227.91183
17/08/2010 18:00,54057.39661,54057.39661,54057.39661,54057.39661,54057.39661,54057.39661
17/08/2010 19:00,54151.06266,54151.06266,54151.06266,54151.06266,54151.06266,54151.06266
17/08/2010 20:00,53518.86576,53518.86576,53518.86576,53518.86576,53518.86576,53518.86576
17/08/2010 21:00,51556.96305,51556.96305,51556.96305,51556.96305,51556.96305,51556.96305
17/08/2010 22:00,50852.8056,50852.8056,50852.8056,50852.8056,50852.8056,50852.8056
17/08/2010 23:00,50331.48271,50331.48271,50331.48271,50331.48271,50331.48271,50331.48271
18/08/2010 0:00,49845.16236,49845.16236,49845.16236,49845.16236,49845.16236,49845.16236
18/08/2010 1:00,49602.88214,49602.88214,49602.88214,49602.88214,49602.88214,49602.88214
18/08/2010 2:00,49380.5475,49380.5475,49380.5475,49380.5475,49380.5475,49380.5475
18/08/2010 3:00,49334.39889,49334.39889,49334.39889,49334.39889,49334.39889,49334.39889
18/08/2010 4:00,49347.5004,49347.5004,49347.5004,49347.5004,49347.5004,49347.5004
18/08/2010 5:00,49756.38494,49756.38494,49756.38494,49756.38494,49756.38494,49756.38494
18/08/2010 6:00,50645.52793,50645.52793,50645.52793,50645.52793,50645.52793,50645.52793
18/08/2010 7:00,52593.93804,52593.93804,52593.93804,52593.93804,52593.93804,52593.93804
18/08/2010 8:00,54761.35852,54761.35852,54761.35852,54761.35852,54761.35852,54761.35852
18/08/2010 9:00,56906.29132,56906.29132,56906.29132,56906.29132,56906.29132,56906.29132
18/08/2010 10:00,57453.6217,57453.6217,57453.6217,57453.6217,57453.6217,57453.6217
18/08/2010 11:00,57550.41646,57550.41646,57550.41646,57550.41646,57550.41646,57550.41646
18/08/2010 12:00,57242.82422,57242.82422,57242.82422,57242.82422,57242.82422,57242.82422
18/08/2010 13:00,57410.01517,57410.01517,57410.01517,57410.01517,57410.01517,57410.01517
18/08/2010 14:00,57226.2029,57226.2029,57226.2029,57226.2029,57226.2029,57226.2029
18/08/2010 15:00,56792.48415,56792.48415,56792.48415,56792.48415,56792.48415,56792.48415
18/08/2010 16:00,55456.91198,55456.91198,55456.91198,55456.91198,55456.91198,55456.91198
18/08/2010 17:00,54024.54506,54024.54506,54024.54506,54024.54506,54024.54506,54024.54506
18/08/2010 18:00,54025.13169,54025.13169,54025.13169,54025.13169,54025.13169,54025.13169
18/08/2010 19:00,53983.67616,53983.67616,53983.67616,53983.67616,53983.67616,53983.67616
18/08/2010 20:00,53331.72922,53331.72922,53331.72922,53331.72922,53331.72922,53331.72922
18/08/2010 21:00,51421.64593,51421.64593,51421.64593,51421.64593,51421.64593,51421.64593
18/08/2010 22:00,50689.33,50689.33,50689.33,50689.33,50689.33,50689.33
18/08/2010 23:00,50222.17307,50222.17307,50222.17307,50222.17307,50222.17307,50222.17307
19/08/2010 0:00,49799.40483,49799.40483,49799.40483,49799.40483,49799.40483,49799.40483
19/08/2010 1:00,49427.4783,49427.4783,49427.4783,49427.4783,49427.4783,49427.4783
19/08/2010 2:00,49194.58423,49194.58423,49194.58423,49194.58423,49194.58423,49194.58423
19/08/2010 3:00,49069.23991,49069.23991,49069.23991,49069.23991,49069.23991,49069.23991
19/08/2010 4:00,49141.20046,49141.20046,49141.20046,49141.20046,49141.20046,49141.20046
19/08/2010 5:00,49577.85238,49577.85238,49577.85238,49577.85238,49577.85238,49577.85238
19/08/2010 6:00,50362.7699,50362.7699,50362.7699,50362.7699,50362.7699,50362.7699
19/08/2010 7:00,52456.27438,52456.27438,52456.27438,52456.27438,52456.27438,52456.27438
19/08/2010 8:00,54491.50645,54491.50645,54491.50645,54491.50645,54491.50645,54491.50645
19/08/2010 9:00,56470.61712,56470.61712,56470.61712,56470.61712,56470.61712,56470.61712
19/08/2010 10:00,57020.88067,57020.88067,57020.88067,57020.88067,57020.88067,57020.88067
19/08/2010 11:00,57074.85109,57074.85109,57074.85109,57074.85109,57074.85109,57074.85109
19/08/2010 12:00,56627.0531,56627.0531,56627.0531,56627.0531,56627.0531,56627.0531
19/08/2010 13:00,56718.95924,56718.95924,56718.95924,56718.95924,56718.95924,56718.95924
19/08/2010 14:00,56867.57342,56867.57342,56867.57342,56867.57342,56867.57342,56867.57342
19/08/2010 15:00,56582.2733,56582.2733,56582.2733,56582.2733,56582.2733,56582.2733
19/08/2010 16:00,55291.67648,55291.67648,55291.67648,55291.67648,55291.67648,55291.67648
19/08/2010 17:00,53935.18101,53935.18101,53935.18101,53935.18101,53935.18101,53935.18101
19/08/2010 18:00,53818.24511,53818.24511,53818.24511,53818.24511,53818.24511,53818.24511
19/08/2010 19:00,53848.75013,53848.75013,53848.75013,53848.75013,53848.75013,53848.75013
19/08/2010 20:00,53341.89756,53341.89756,53341.89756,53341.89756,53341.89756,53341.89756
19/08/2010 21:00,51426.92564,51426.92564,51426.92564,51426.92564,51426.92564,51426.92564
19/08/2010 22:00,50506.29991,50506.29991,50506.29991,50506.29991,50506.29991,50506.29991
19/08/2010 23:00,49580.39447,49580.39447,49580.39447,49580.39447,49580.39447,49580.39447
20/08/2010 0:00,49173.85647,49173.85647,49173.85647,49173.85647,49173.85647,49173.85647
20/08/2010 1:00,48867.43749,48867.43749,48867.43749,48867.43749,48867.43749,48867.43749
20/08/2010 2:00,48679.51878,48679.51878,48679.51878,48679.51878,48679.51878,48679.51878
20/08/2010 3:00,48879.95237,48879.95237,48879.95237,48879.95237,48879.95237,48879.95237
20/08/2010 4:00,49185.19808,49185.19808,49185.19808,49185.19808,49185.19808,49185.19808
20/08/2010 5:00,49416.33223,49416.33223,49416.33223,49416.33223,49416.33223,49416.33223
20/08/2010 6:00,49731.74627,49731.74627,49731.74627,49731.74627,49731.74627,49731.74627
20/08/2010 7:00,50378.4135,50378.4135,50378.4135,50378.4135,50378.4135,50378.4135
20/08/2010 8:00,52008.67194,52008.67194,52008.67194,52008.67194,52008.67194,52008.67194
20/08/2010 9:00,54173.15924,54173.15924,54173.15924,54173.15924,54173.15924,54173.15924
20/08/2010 10:00,54601.40273,54601.40273,54601.40273,54601.40273,54601.40273,54601.40273
20/08/2010 11:00,54697.21976,54697.21976,54697.21976,54697.21976,54697.21976,54697.21976
20/08/2010 12:00,53777.37621,53777.37621,53777.37621,53777.37621,53777.37621,53777.37621
20/08/2010 13:00,53315.89008,53315.89008,53315.89008,53315.89008,53315.89008,53315.89008
20/08/2010 14:00,53238.06318,53238.06318,53238.06318,53238.06318,53238.06318,53238.06318
20/08/2010 15:00,53296.72667,53296.72667,53296.72667,53296.72667,53296.72667,53296.72667
20/08/2010 16:00,53131.10008,53131.10008,53131.10008,53131.10008,53131.10008,53131.10008
20/08/2010 17:00,53367.12286,53367.12286,53367.12286,53367.12286,53367.12286,53367.12286
20/08/2010 18:00,53667.28439,53667.28439,53667.28439,53667.28439,53667.28439,53667.28439
20/08/2010 19:00,54032.36686,54032.36686,54032.36686,54032.36686,54032.36686,54032.36686
20/08/2010 20:00,53323.71188,53323.71188,53323.71188,53323.71188,53323.71188,53323.71188
